   10000301  7.36E-08     0.644     0.000     0.000     0.000 100000
 REAC,CROSS(mb),B. MOM,  A1,    A2,    A3, # EVENTS
      48814       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1799   -0.0006    0.6161 14
   2   -0.1799    0.0006    0.0284614
      48815       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1784   -0.0007    0.6166 14
   2   -0.1784    0.0007    0.0279614
      48816       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1765    0.0004    0.6172 14
   2   -0.1765   -0.0004    0.0273614
      48817       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1767   -0.0008    0.6171 14
   2   -0.1767    0.0008    0.0273614
      48818       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1804   -0.0003    0.6159 14
   2   -0.1804    0.0003    0.0285614
      48819       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1784   -0.0003    0.6166 14
   2   -0.1784    0.0003    0.0279614
      48820       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1802    0.0007    0.6160 14
   2   -0.1802   -0.0007    0.0284614
      48821       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1802    0.0007    0.6160 14
   2   -0.1802   -0.0007    0.0285614
      48822       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1809   -0.0003    0.6158 14
   2   -0.1809    0.0003    0.0287614
      48823       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1785   -0.0005    0.6165 14
   2    0.1785    0.0005    0.0279614
      48824       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1767   -0.0007    0.6171 14
   2   -0.1767    0.0007    0.0273614
      48825       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1808    0.0002    0.6158 14
   2   -0.1808   -0.0002    0.0287614
      48826       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1783    0.0002    0.6166 14
   2   -0.1783   -0.0002    0.0278614
      48827       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1801   -0.0005    0.6160 14
   2   -0.1801    0.0005    0.0284614
      48828       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1811    0.0008    0.6157 14
   2   -0.1811   -0.0008    0.0287614
      48829       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1798   -0.0005    0.6161 14
   2    0.1798    0.0005    0.0283614
      48830       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1818   -0.0009    0.6155 14
   2    0.1818    0.0009    0.0290614
      48831       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1819   -0.0008    0.6154 14
   2   -0.1819    0.0008    0.0290614
      48832       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1771   -0.0000    0.6170 14
   2   -0.1771    0.0000    0.0275614
      48833       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1778   -0.0002    0.6168 14
   2    0.1778    0.0002    0.0277614
      48834       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797    0.0002    0.6162 14
   2   -0.1797   -0.0002    0.0283614
      48835       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1805    0.0004    0.6159 14
   2   -0.1805   -0.0004    0.0285614
      48836       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1804   -0.0006    0.6159 14
   2   -0.1804    0.0006    0.0285614
      48837       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1780    0.0000    0.6167 14
   2   -0.1780   -0.0000    0.0278614
      48838       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1766    0.0003    0.6171 14
   2   -0.1766   -0.0003    0.0273614
      48839       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1790    0.0000    0.6164 14
   2   -0.1790   -0.0000    0.0281614
      48840       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1804    0.0009    0.6159 14
   2   -0.1804   -0.0009    0.0285614
      48841       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1778    0.0003    0.6168 14
   2   -0.1778   -0.0003    0.0277614
      48842       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1790    0.0005    0.6164 14
   2   -0.1790   -0.0005    0.0281614
      48843       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1802   -0.0000    0.6160 14
   2   -0.1802    0.0000    0.0285614
      48844       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1795   -0.0006    0.6162 14
   2   -0.1795    0.0006    0.0282614
      48845       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1778    0.0004    0.6168 14
   2    0.1778   -0.0004    0.0277614
      48846       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1773    0.0002    0.6169 14
   2   -0.1773   -0.0002    0.0275614
      48847       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1772    0.0004    0.6170 14
   2   -0.1772   -0.0004    0.0275614
      48848       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1804    0.0008    0.6159 14
   2    0.1804   -0.0008    0.0285614
      48849       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1773    0.0003    0.6169 14
   2    0.1773   -0.0003    0.0275614
      48850       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1773   -0.0007    0.6169 14
   2   -0.1773    0.0007    0.0275614
      48851       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1787   -0.0007    0.6165 14
   2    0.1787    0.0007    0.0280614
      48852       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1775    0.0002    0.6169 14
   2    0.1775   -0.0002    0.0276614
      48853       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1808    0.0008    0.6158 14
   2   -0.1808   -0.0008    0.0287614
      48854       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1790    0.0005    0.6164 14
   2    0.1790   -0.0005    0.0280614
      48855       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1761   -0.0003    0.6173 14
   2   -0.1761    0.0003    0.0271614
      48856       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1767    0.0007    0.6171 14
   2   -0.1767   -0.0007    0.0273614
      48857       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1815   -0.0002    0.6156 14
   2   -0.1815    0.0002    0.0289614
      48858       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1803   -0.0003    0.6160 14
   2   -0.1803    0.0003    0.0285614
      48859       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1786    0.0000    0.6165 14
   2   -0.1786   -0.0000    0.0279614
      48860       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1770    0.0006    0.6170 14
   2   -0.1770   -0.0006    0.0274614
      48861       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1774    0.0006    0.6169 14
   2   -0.1774   -0.0006    0.0276614
      48862       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1763    0.0002    0.6172 14
   2   -0.1763   -0.0002    0.0272614
      48863       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1787   -0.0004    0.6165 14
   2   -0.1787    0.0004    0.0280614
      48864       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1771    0.0004    0.6170 14
   2   -0.1771   -0.0004    0.0275614
      48865       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1810    0.0004    0.6157 14
   2   -0.1810   -0.0004    0.0287614
      48866       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1807   -0.0007    0.6158 14
   2   -0.1807    0.0007    0.0286614
      48867       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1780   -0.0002    0.6167 14
   2    0.1780    0.0002    0.0278614
      48868       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1803   -0.0007    0.6160 14
   2   -0.1803    0.0007    0.0285614
      48869       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1809   -0.0004    0.6158 14
   2   -0.1809    0.0004    0.0287614
      48870       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1794   -0.0006    0.6163 14
   2   -0.1794    0.0006    0.0282614
      48871       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1802   -0.0006    0.6160 14
   2   -0.1802    0.0006    0.0284614
      48872       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1817    0.0008    0.6155 14
   2   -0.1817   -0.0008    0.0289614
      48873       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1777    0.0008    0.6168 14
   2   -0.1777   -0.0008    0.0276614
      48874       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1769   -0.0005    0.6170 14
   2   -0.1769    0.0005    0.0274614
      48875       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1816   -0.0003    0.6155 14
   2    0.1816    0.0003    0.0289614
      48876       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1820    0.0004    0.6154 14
   2   -0.1820   -0.0004    0.0290614
      48877       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1814    0.0003    0.6156 14
   2   -0.1814   -0.0003    0.0289614
      48878       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1782    0.0003    0.6166 14
   2   -0.1782   -0.0003    0.0278614
      48879       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1802    0.0001    0.6160 14
   2   -0.1802   -0.0001    0.0284614
      48880       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1794    0.0005    0.6163 14
   2   -0.1794   -0.0005    0.0282614
      48881       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789    0.0003    0.6164 14
   2   -0.1789   -0.0003    0.0280614
      48882       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1810   -0.0005    0.6157 14
   2   -0.1810    0.0005    0.0287614
      48883       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1813    0.0005    0.6156 14
   2   -0.1813   -0.0005    0.0288614
      48884       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1781   -0.0006    0.6167 14
   2    0.1781    0.0006    0.0278614
      48885       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1798   -0.0004    0.6161 14
   2   -0.1798    0.0004    0.0283614
      48886       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1784   -0.0006    0.6166 14
   2   -0.1784    0.0006    0.0279614
      48887       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1809    0.0008    0.6158 14
   2   -0.1809   -0.0008    0.0287614
      48888       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1765    0.0000    0.6172 14
   2   -0.1765   -0.0000    0.0273614
      48889       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1803   -0.0008    0.6160 14
   2   -0.1803    0.0008    0.0285614
      48890       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1793    0.0008    0.6163 14
   2   -0.1793   -0.0008    0.0282614
      48891       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1805    0.0004    0.6159 14
   2   -0.1805   -0.0004    0.0285614
      48892       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1811    0.0009    0.6157 14
   2   -0.1811   -0.0009    0.0287614
      48893       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1788    0.0003    0.6164 14
   2   -0.1788   -0.0003    0.0280614
      48894       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1766   -0.0006    0.6172 14
   2   -0.1766    0.0006    0.0273614
      48895       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1778   -0.0006    0.6168 14
   2   -0.1778    0.0006    0.0277614
      48896       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1807    0.0004    0.6158 14
   2   -0.1807   -0.0004    0.0286614
      48897       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1782    0.0005    0.6166 14
   2   -0.1782   -0.0005    0.0278614
      48898       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789   -0.0007    0.6164 14
   2   -0.1789    0.0007    0.0280614
      48899       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1771    0.0003    0.6170 14
   2   -0.1771   -0.0003    0.0275614
      48900       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1818    0.0006    0.6155 14
   2   -0.1818   -0.0006    0.0290614
      48901       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1815    0.0008    0.6156 14
   2    0.1815   -0.0008    0.0289614
      48902       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1762   -0.0005    0.6173 14
   2   -0.1762    0.0005    0.0272614
      48903       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1776   -0.0007    0.6168 14
   2   -0.1776    0.0007    0.0276614
      48904       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1785    0.0004    0.6165 14
   2   -0.1785   -0.0004    0.0279614
      48905       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1806   -0.0001    0.6159 14
   2   -0.1806    0.0001    0.0286614
      48906       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1808   -0.0006    0.6158 14
   2   -0.1808    0.0006    0.0287614
      48907       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1819   -0.0002    0.6154 14
   2   -0.1819    0.0002    0.0290614
      48908       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1761    0.0006    0.6173 14
   2   -0.1761   -0.0006    0.0271614
      48909       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1765    0.0000    0.6172 14
   2   -0.1765   -0.0000    0.0273614
      48910       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1784    0.0000    0.6166 14
   2   -0.1784   -0.0000    0.0279614
      48911       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1782    0.0007    0.6166 14
   2   -0.1782   -0.0007    0.0278614
      48912       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1767   -0.0003    0.6171 14
   2   -0.1767    0.0003    0.0273614
      48913       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1787   -0.0008    0.6165 14
   2   -0.1787    0.0008    0.0280614
      48914       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1819   -0.0004    0.6154 14
   2   -0.1819    0.0004    0.0290614
      48915       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1771    0.0001    0.6170 14
   2    0.1771   -0.0001    0.0274614
      48916       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1790   -0.0002    0.6164 14
   2   -0.1790    0.0002    0.0281614
      48917       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1780   -0.0002    0.6167 14
   2   -0.1780    0.0002    0.0277614
      48918       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1798    0.0007    0.6161 14
   2   -0.1798   -0.0007    0.0283614
      48919       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1764   -0.0005    0.6172 14
   2   -0.1764    0.0005    0.0272614
      48920       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1782   -0.0001    0.6166 14
   2    0.1782    0.0001    0.0278614
      48921       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1785   -0.0004    0.6165 14
   2    0.1785    0.0004    0.0279614
      48922       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1818    0.0004    0.6155 14
   2   -0.1818   -0.0004    0.0290614
      48923       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1806   -0.0001    0.6159 14
   2   -0.1806    0.0001    0.0286614
      48924       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789   -0.0003    0.6164 14
   2   -0.1789    0.0003    0.0280614
      48925       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1772   -0.0003    0.6169 14
   2   -0.1772    0.0003    0.0275614
      48926       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1813   -0.0006    0.6156 14
   2   -0.1813    0.0006    0.0288614
      48927       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1773   -0.0007    0.6169 14
   2   -0.1773    0.0007    0.0275614
      48928       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1801    0.0003    0.6160 14
   2   -0.1801   -0.0003    0.0284614
      48929       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1815    0.0007    0.6156 14
   2   -0.1815   -0.0007    0.0289614
      48930       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1779   -0.0008    0.6167 14
   2   -0.1779    0.0008    0.0277614
      48931       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1767    0.0004    0.6171 14
   2   -0.1767   -0.0004    0.0273614
      48932       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1796   -0.0003    0.6162 14
   2   -0.1796    0.0003    0.0283614
      48933       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1779   -0.0004    0.6167 14
   2   -0.1779    0.0004    0.0277614
      48934       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1801    0.0007    0.6160 14
   2   -0.1801   -0.0007    0.0284614
      48935       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1803    0.0002    0.6160 14
   2   -0.1803   -0.0002    0.0285614
      48936       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1787   -0.0001    0.6165 14
   2   -0.1787    0.0001    0.0280614
      48937       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1803   -0.0000    0.6160 14
   2   -0.1803    0.0000    0.0285614
      48938       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1776    0.0005    0.6168 14
   2    0.1776   -0.0005    0.0276614
      48939       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797    0.0008    0.6161 14
   2   -0.1797   -0.0008    0.0283614
      48940       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1799    0.0009    0.6161 14
   2    0.1799   -0.0009    0.0284614
      48941       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789    0.0007    0.6164 14
   2   -0.1789   -0.0007    0.0280614
      48942       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1792   -0.0004    0.6163 14
   2   -0.1792    0.0004    0.0281614
      48943       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1817   -0.0001    0.6155 14
   2   -0.1817    0.0001    0.0290614
      48944       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789   -0.0002    0.6164 14
   2   -0.1789    0.0002    0.0280614
      48945       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1794    0.0008    0.6162 14
   2   -0.1794   -0.0008    0.0282614
      48946       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1789   -0.0008    0.6164 14
   2    0.1789    0.0008    0.0280614
      48947       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1816    0.0005    0.6155 14
   2   -0.1816   -0.0005    0.0289614
      48948       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1805    0.0007    0.6159 14
   2   -0.1805   -0.0007    0.0286614
      48949       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1805    0.0008    0.6159 14
   2   -0.1805   -0.0008    0.0286614
      48950       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1766    0.0006    0.6171 14
   2   -0.1766   -0.0006    0.0273614
      48951       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1770   -0.0003    0.6170 14
   2   -0.1770    0.0003    0.0274614
      48952       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1802   -0.0009    0.6160 14
   2    0.1802    0.0009    0.0285614
      48953       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1774   -0.0000    0.6169 14
   2   -0.1774    0.0000    0.0275614
      48954       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1769    0.0001    0.6171 14
   2   -0.1769   -0.0001    0.0274614
      48955       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1796   -0.0006    0.6162 14
   2   -0.1796    0.0006    0.0283614
      48956       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1768   -0.0001    0.6171 14
   2   -0.1768    0.0001    0.0274614
      48957       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1803    0.0008    0.6160 14
   2   -0.1803   -0.0008    0.0285614
      48958       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1797   -0.0002    0.6161 14
   2    0.1797    0.0002    0.0283614
      48959       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1778    0.0003    0.6168 14
   2   -0.1778   -0.0003    0.0277614
      48960       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1765    0.0007    0.6172 14
   2   -0.1765   -0.0007    0.0273614
      48961       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1810   -0.0005    0.6157 14
   2   -0.1810    0.0005    0.0287614
      48962       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1786    0.0002    0.6165 14
   2   -0.1786   -0.0002    0.0279614
      48963       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1762   -0.0002    0.6173 14
   2   -0.1762    0.0002    0.0272614
      48964       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1800   -0.0007    0.6161 14
   2   -0.1800    0.0007    0.0284614
      48965       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1797    0.0003    0.6162 14
   2   -0.1797   -0.0003    0.0283614
      48966       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1794   -0.0003    0.6163 14
   2   -0.1794    0.0003    0.0282614
      48967       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1769    0.0004    0.6171 14
   2    0.1769   -0.0004    0.0274614
      48968       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1805    0.0005    0.6159 14
   2   -0.1805   -0.0005    0.0286614
      48969       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1794   -0.0002    0.6162 14
   2   -0.1794    0.0002    0.0282614
      48970       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1809    0.0005    0.6158 14
   2   -0.1809   -0.0005    0.0287614
      48971       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1779    0.0007    0.6167 14
   2    0.1779   -0.0007    0.0277614
      48972       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1820    0.0008    0.6154 14
   2   -0.1820   -0.0008    0.0290614
      48973       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1760    0.0005    0.6173 14
   2   -0.1760   -0.0005    0.0271614
      48974       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1817   -0.0000    0.6155 14
   2   -0.1817    0.0000    0.0289614
      48975       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1778   -0.0003    0.6168 14
   2   -0.1778    0.0003    0.0277614
      48976       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1785   -0.0002    0.6166 14
   2   -0.1785    0.0002    0.0279614
      48977       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1807   -0.0001    0.6158 14
   2    0.1807    0.0001    0.0286614
      48978       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1788   -0.0001    0.6164 14
   2   -0.1788    0.0001    0.0280614
      48979       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1796    0.0005    0.6162 14
   2   -0.1796   -0.0005    0.0283614
      48980       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1773    0.0001    0.6169 14
   2   -0.1773   -0.0001    0.0275614
      48981       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1786    0.0002    0.6165 14
   2   -0.1786   -0.0002    0.0279614
      48982       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1821   -0.0003    0.6154 14
   2   -0.1821    0.0003    0.0291614
      48983       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1804    0.0003    0.6159 14
   2   -0.1804   -0.0003    0.0285614
      48984       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1800    0.0007    0.6161 14
   2   -0.1800   -0.0007    0.0284614
      48985       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1782    0.0002    0.6166 14
   2   -0.1782   -0.0002    0.0278614
      48986       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1772   -0.0008    0.6169 14
   2   -0.1772    0.0008    0.0275614
      48987       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1813   -0.0001    0.6157 14
   2   -0.1813    0.0001    0.0288614
      48988       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1794    0.0006    0.6162 14
   2   -0.1794   -0.0006    0.0282614
      48989       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1816   -0.0006    0.6155 14
   2   -0.1816    0.0006    0.0289614
      48990       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1800   -0.0002    0.6161 14
   2   -0.1800    0.0002    0.0284614
      48991       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1804   -0.0000    0.6159 14
   2   -0.1804    0.0000    0.0285614
      48992       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1813    0.0006    0.6156 14
   2   -0.1813   -0.0006    0.0288614
      48993       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1820    0.0006    0.6154 14
   2   -0.1820   -0.0006    0.0290614
      48994       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1768    0.0005    0.6171 14
   2   -0.1768   -0.0005    0.0274614
      48995       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1816    0.0007    0.6155 14
   2   -0.1816   -0.0007    0.0289614
      48996       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1775    0.0008    0.6169 14
   2   -0.1775   -0.0008    0.0276614
      48997       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1809    0.0003    0.6158 14
   2   -0.1809   -0.0003    0.0287614
      48998       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1781   -0.0008    0.6167 14
   2   -0.1781    0.0008    0.0278614
      48999       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789   -0.0005    0.6164 14
   2   -0.1789    0.0005    0.0280614
      49000       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1783   -0.0007    0.6166 14
   2   -0.1783    0.0007    0.0278614
      49001       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1778   -0.0002    0.6168 14
   2   -0.1778    0.0002    0.0277614
      49002       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1787    0.0006    0.6165 14
   2    0.1787   -0.0006    0.0280614
      49003       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1793   -0.0003    0.6163 14
   2   -0.1793    0.0003    0.0282614
      49004       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1783    0.0004    0.6166 14
   2   -0.1783   -0.0004    0.0278614
      49005       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1779    0.0004    0.6167 14
   2   -0.1779   -0.0004    0.0277614
      49006       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1810    0.0006    0.6157 14
   2   -0.1810   -0.0006    0.0287614
      49007       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1799   -0.0008    0.6161 14
   2   -0.1799    0.0008    0.0284614
      49008       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1763    0.0001    0.6172 14
   2   -0.1763   -0.0001    0.0272614
      49009       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1777    0.0001    0.6168 14
   2   -0.1777   -0.0001    0.0277614
      49010       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1780   -0.0006    0.6167 14
   2   -0.1780    0.0006    0.0278614
      49011       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789   -0.0002    0.6164 14
   2   -0.1789    0.0002    0.0280614
      49012       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1789    0.0000    0.6164 14
   2   -0.1789   -0.0000    0.0280614
      49013       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1774    0.0004    0.6169 14
   2   -0.1774   -0.0004    0.0275614
      49014       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1768    0.0009    0.6171 14
   2   -0.1768   -0.0009    0.0274614
      49015       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1792   -0.0003    0.6163 14
   2   -0.1792    0.0003    0.0281614
      49016       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1805   -0.0005    0.6159 14
   2   -0.1805    0.0005    0.0285614
      49017       301         2    0.6444 1.000E+00 1.000E+00
   1    0.1801   -0.0005    0.6160 14
   2   -0.1801    0.0005    0.0284614
      49018       301         2    0.6444 1.000E+00 1.000E+00
   1   -0.1810   -0.0003    0.6157 14
